,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
22,26-06-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,7010,Polskie Stronnictwo Ludowe,24  Białystok,brak,,,"Akademia Wychowania Fizycznego w Warszawie, Wydział Wychowania Fizycznego, Wychowanie fizyczne - magister (1993)",25-10-2015,,wyższe,nauczyciel,Mieczysław Kazimierz Baszko
23,04-01-1958,,Klub Parlamentarny Prawo i Sprawiedliwość,17961,Prawo i Sprawiedliwość,17  Radom,"poseł VI kadencji, poseł VII kadencji",,,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Leśny - magister inżynier (1984)",25-10-2015,,wyższe,leśnik,Dariusz Bąk
24,13-10-1962,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,6283,Polskie Stronnictwo Ludowe,11  Sieradz,brak,,,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Mechaniczny, Technologia maszyn - magister inżynier (1987)",25-10-2015,,wyższe,pracownik administracji samorządowej,Paweł Bejda
25,17-02-1960,,Klub Parlamentarny Prawo i Sprawiedliwość,27673,Prawo i Sprawiedliwość,15  Tarnów,poseł VII kadencji,,profesor doktor habilitowany(2013),"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i administracji, Politologia - magister (1987)",25-10-2015,,wyższe,nauczyciel akademicki,Włodzimierz Bernacki
26,03-09-1971,,Klub Parlamentarny Platforma Obywatelska,7466,Platforma Obywatelska,17  Radom,brak,,,"Wyższa Szkoła Pedagogiczna im. Jana Kochanowskiego w Kielcach, Wydział Pedagogiki Opiekuńczo-Wychowawczej, Pedagogika opiekuńczo-wychowawcza - magister (1995)",25-10-2015,,wyższe,nauczyciel,Anna Białkowska
27,19-11-1969,,Klub Parlamentarny Prawo i Sprawiedliwość,8510,Prawo i Sprawiedliwość,6  Lublin,poseł V kadencji,,,"Politechnika Rzeszowska im. I. Łukasiewicza, Wydział Elektryczny, Elektrotechnika - magister inżynier (1993)",25-10-2015,,wyższe,inżynier elektryk,Jerzy Bielecki
28,28-04-1959,,Klub Parlamentarny Platforma Obywatelska,42586,Platforma Obywatelska,26  Gdynia,"poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (1985)",25-10-2015,,wyższe,prawnik,Marek Biernacki
29,13-11-1963,,Klub Parlamentarny Prawo i Sprawiedliwość,3644,Prawo i Sprawiedliwość,12  Chrzanów,brak,,,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Elektrotechniki, Automatyki i Elektroniki - magister inżynier (1988)",25-10-2015,,wyższe,burmistrz,Zbigniew Biernat
30,19-09-1969,,Klub Parlamentarny Prawo i Sprawiedliwość,73139,Prawo i Sprawiedliwość,20  Warszawa,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1995)",25-10-2015,,wyższe,urzędnik państwowy,Mariusz Błaszczak
31,22-03-1983,,Poseł niezrzeszony,9437,Kukiz'15,25  Gdańsk,brak,,,"RWTH AACHEN, Wydział Architektury, Architektura - magister inżynier architekt (2010)",25-10-2015,,wyższe,architekt,Magdalena Błeńska
32,13-02-1959,,Klub Parlamentarny Prawo i Sprawiedliwość,9707,Prawo i Sprawiedliwość,24  Białystok,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Lubelska, Wydział Technologii i Eksploatacji Maszyn, Mechanika - magister inżynier (1982)",25-10-2015,,wyższe,poseł na Sejm RP,Jacek Bogucki
33,15-11-1957,,Klub Parlamentarny Platforma Obywatelska,16931,Platforma Obywatelska,25  Gdańsk,"poseł III kadencji, poseł VI kadencji, poseł VII kadencji",,,Technikum Budowy Okrętów i Statków w Gdańsku - technik (1977),25-10-2015,,średnie zawodowe,mechanik budowy okrętów i statków,Jerzy Borowczak
34,20-08-1967,,Klub Parlamentarny Prawo i Sprawiedliwość,8292,Prawo i Sprawiedliwość,5  Toruń,brak,, doktor,"Wyższa Szkoła Pedagogiczna w Bydgoszczy, Wydział Pedagogiczny, Wychowanie muzyczne - magister (1993)",25-10-2015,,wyższe,nauczyciel akademicki,Joanna Borowiak
35,13-06-1987,,Klub Parlamentarny Prawo i Sprawiedliwość,17183,Prawo i Sprawiedliwość,7  Chełm,brak,,,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Prawa i Administracja, Administracja - licencjat (2009)",25-10-2015,,wyższe,przedsiębiorca,Agata Borowiec
36,13-10-1988,,Klub Poselski Kukiz'15,8115,Kukiz'15,14  Nowy Sącz,brak,,,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Bezpieczeństwo wewnętrzne - magister (2013)",25-10-2015,,wyższe,politolog,Elżbieta Zielińska
37,11-03-1954,,Klub Parlamentarny Prawo i Sprawiedliwość,7912,Prawo i Sprawiedliwość,31  Katowice,brak,,,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1996)",25-10-2015,,wyższe,prawnik,Bożena Borys-Szopa
38,16-05-1983,,Klub Parlamentarny Platforma Obywatelska,15951,Platforma Obywatelska,4  Bydgoszcz,"poseł VI kadencji, poseł VII kadencji",, doktor,"Uniwersytet Warszawski, Wydział Prawa, Prawo - magister (2007)",25-10-2015,,wyższe,prawnik,Krzysztof Brejza
39,04-02-1968,Wicemarszałek Sejmu od 12-11-2015 do 09-01-2018,Klub Parlamentarny Prawo i Sprawiedliwość,46918,Prawo i Sprawiedliwość,41  Szczecin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Szczeciński, Wydział Politologia i Nauki Społeczne - magister (1997)",25-10-2015,,wyższe,parlamentarzysta,Joachim Brudziński
40,05-04-1962,,Klub Poselski Kukiz'15,8615,Kukiz'15,12  Chrzanów,brak,, doktor habilitowany,"Wyższa Szkoła Pedagogiczna w Krakowie, Wydział Humanistyczny, Historia - magister (1986)",25-10-2015,,wyższe,historyk - nauczyciel akademicki,Józef Brynkus
41,04-03-1963,,Klub Parlamentarny Prawo i Sprawiedliwość,9813,Prawo i Sprawiedliwość,13  Kraków,"poseł V kadencji, poseł VII kadencji",,,"Uniwersytet Jagielloński w Krakowie, Wydział Filologiczny, Filologia polska - magister (1986)",25-10-2015,,wyższe,filolog języka polskiego,Barbara Bubula
42,06-02-1955,,Klub Parlamentarny Prawo i Sprawiedliwość,18202,Prawo i Sprawiedliwość,23  Rzeszów,brak,,,"Politechnika Rzeszowska, Wydział Mechaniczny, Technologia budowy maszyn - magister inżynier (1980)",25-10-2015,,wyższe,inżynier mechanik,Wojciech Buczak
43,21-09-1982,,Klub Parlamentarny Prawo i Sprawiedliwość,15028,Prawo i Sprawiedliwość,9  Łódź,brak,,,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (2006)",25-10-2015,,wyższe,prawnik,Waldemar Buda
44,11-03-1978,,Klub Parlamentarny Platforma Obywatelska,37761,Platforma Obywatelska,29  Gliwice,poseł VII kadencji,, doktor,"Uniwersytet Śląski w Katowicach, Wydział Prawa i Administracji, Prawo - magister (2002)",25-10-2015,,wyższe,nauczyciel akademicki,Borys Budka
45,14-02-1952,,Klub Parlamentarny Platforma Obywatelska,25715,Platforma Obywatelska,8  Zielona Góra,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Inżynierska w Zielonej Górze, Wydział Instytut Budowy Maszyn, Maszyny i urządzenia przemysłu włókienniczego - magister inżynier (1978)",25-10-2015,,wyższe,parlamentarzysta,Bożenna Bukiewicz
46,27-08-1964,,Klub Parlamentarny Prawo i Sprawiedliwość,9760,Prawo i Sprawiedliwość,28  Częstochowa,brak,,,"Uniwersytet Śląski, Wydział Nauk Społecznych, Historia - magister (1990)",25-10-2015,,wyższe,nauczyciel,Lidia Burzyńska
47,01-05-1953,,Klub Parlamentarny Platforma Obywatelska,13346,Platforma Obywatelska,25  Gdańsk,brak,,,"Politechnika Gdańska, Wydział Urbanistyki i Architektury, Architektura - magister inżynier (1980)",25-10-2015,,wyższe,architekt,Małgorzata Chmiel
48,22-09-1954,,Klub Parlamentarny Prawo i Sprawiedliwość,18197,Prawo i Sprawiedliwość,23  Rzeszów,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",http://zbigniewchmielowiec.pl/,,"Politechnika Krakowska, Wydział Inżynierii Sanitarnej - magister inżynier (1980)",25-10-2015,,wyższe,inżynier inżynierii środowiska,Zbigniew Chmielowiec
49,10-09-1965,,Klub Poselski Kukiz'15,8550,Kukiz'15,32  Sosnowiec,brak,,,"Uniwersytet Śląski, Wydział Prawa i Administracji, Administracja - magister (2008)",25-10-2015,,wyższe,urzędnik,Barbara Chrobak
50,22-08-1972,,Koło Poselskie Wolni i Solidarni,11052,Kukiz'15,41  Szczecin,brak,,,"Politechnika Szczecińska, Wydział Budownictwa i Architektury, Architektura - magister inżynier architekt (1997)",25-10-2015,,wyższe,architekt,Sylwester Chruszcz
51,10-05-1951,,Klub Parlamentarny Platforma Obywatelska,62211,Platforma Obywatelska,3  Wrocław,senator VIII kadencji,,profesor doktor habilitowany(1999),"Akademia Medyczna we Wrocławiu, Wydział Lekarski - lekarz (1975)",25-10-2015,,wyższe,lekarz,Alicja Chybicka
52,07-01-1957,,Klub Parlamentarny Platforma Obywatelska,17864,Platforma Obywatelska,35  Olsztyn,"poseł VI kadencji, poseł VII kadencji",, doktor,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolniczy, Ekonomika rolnictwa - magister inżynier (1981)",25-10-2015,,wyższe,wykładowca akademicki,Janusz Cichoń
53,09-12-1974,,Klub Parlamentarny Prawo i Sprawiedliwość,6331,Prawo i Sprawiedliwość,33  Kielce,brak,,,"Uniwersytet Rolniczy im. H. Kołłątaja w Krakowie, Wydział Rolniczy, Agroekonomia - magister inżynier (2001)",25-10-2015,,wyższe,mgr inżynier agroekonomii,Michał Cieślak
54,08-08-1978,,Klub Parlamentarny Platforma Obywatelska,7774,Platforma Obywatelska,34  Elbląg,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Nauk Ekonomicznych i Zarządzania, Zarządzanie i marketing - magister (2004)",25-10-2015,,wyższe,ekonomista,Piotr Cieśliński
55,16-10-1979,,Klub Parlamentarny Platforma Obywatelska,14496,Platforma Obywatelska,24  Białystok,brak,,,Społeczne Liceum Ogólnokształcące (1998),25-10-2015,,średnie ogólne,przedsiębiorca,Tomasz Cimoszewicz
56,06-06-1955,,Klub Parlamentarny Prawo i Sprawiedliwość,13126,Prawo i Sprawiedliwość,25  Gdańsk,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",,,"Uniwersytet Gdański, Wydział Ekonomika transportu, Ekonomika i organizacja transportu lądowego - magister (1978)",25-10-2015,,wyższe,ekonomista,Tadeusz Cymański
57,29-03-1960,,Poseł niezrzeszony,12120,Nowoczesna Ryszarda Petru,33  Kielce,brak,,,"Politechnika Świętokrzyska w Kielcach, Wydział Mechaniczny, Samochody i ciągniki - magister inżynier (1986)",25-10-2015,,wyższe,inżynier mechanik,Adam Cyrański
58,04-10-1948,,Klub Parlamentarny Prawo i Sprawiedliwość,16546,Prawo i Sprawiedliwość,5  Toruń,brak,,,"Uniwersytet Warszawski, Wydział Nauk Politycznych, Nauki polityczne - magister (1971)",25-10-2015,,wyższe,dziennikarz,Krzysztof Czabański
59,12-09-1983,,Klub Parlamentarny Prawo i Sprawiedliwość,9200,Prawo i Sprawiedliwość,3  Wrocław,poseł VII kadencji,,,XXXVIII Liceum Ogólnokształcące w Warszawie - matura (2003),25-10-2015,,średnie ogólne,parlamentarzysta,Przemysław Czarnecki
60,12-04-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,26399,Prawo i Sprawiedliwość,37  Konin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Politechnika Poznańska, Wydział Budownictwa Lądowego, Budownictwo miejskie i przemysłowe - magister inżynier (1977)",25-10-2015,,wyższe,nauczyciel akademicki,Witold Czarnecki
61,14-04-1966,,Klub Parlamentarny Prawo i Sprawiedliwość,24747,Prawo i Sprawiedliwość,18  Siedlce,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Humanistyczny, Historia - magister (1991)",25-10-2015,,wyższe,nauczyciel,Arkadiusz Czartoryski
62,31-05-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,11089,Prawo i Sprawiedliwość,15  Tarnów,brak,,,"Akademia Rolnicza w Krakowie, Wydział Rolniczy, Rolnictwo - magister inżynier (1977)",25-10-2015,,wyższe,menadżer ochrony zdrowia,Anna Czech
63,30-09-1950,,Klub Parlamentarny Platforma Obywatelska,10070,Platforma Obywatelska,1  Legnica,poseł VII kadencji,,,"Wyższa Szkoła Ekonomiczna we Wrocławiu, Wydział Gospodarki Narodowej, Ekonomika przemysłu - magister (1974)",25-10-2015,,wyższe,ekonomista,Zofia Czernow
64,13-01-1970,,Klub Parlamentarny Prawo i Sprawiedliwość,7068,Prawo i Sprawiedliwość,20  Warszawa,brak,,,"Uniwersytet Warszawski, Wydział Prawa i administracji, Prawo - magister (1999)",25-10-2015,,wyższe,prawnik,Anita Czerwińska
65,08-11-1954,,Klub Parlamentarny Platforma Obywatelska,17487,Platforma Obywatelska,14  Nowy Sącz,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Górniczo-Hutnicza, Wydział Elektrotechnika, Automatyka i Elektronika, Elektroenergetyka - magister inżynier (1979)",25-10-2015,,wyższe,inżynier elektryk,Andrzej Czerwiński
66,16-06-1955,,Klub Poselski Kukiz'15,13531,Kukiz'15,31  Katowice,brak,,,"Uniwersytet Śląski, Wydział Prawa i administracji, Prawo - magister (1979)",25-10-2015,,wyższe,adwokat,Grzegorz Długi
67,05-06-1967,,Klub Parlamentarny Prawo i Sprawiedliwość,8738,Prawo i Sprawiedliwość,41  Szczecin,"poseł V kadencji, poseł VII kadencji",,,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia-integracja europejska - magister (2006)",25-10-2015,,wyższe,parlamentarzysta,Leszek Dobrzyński
68,01-12-1965,,Klub Parlamentarny Prawo i Sprawiedliwość,18060,Prawo i Sprawiedliwość,37  Konin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Pedagogiczna w Opolu, Wydział Filologiczno-historyczny, Historia - magister (1989)",25-10-2015,,wyższe,nauczyciel,Zbigniew Dolata
69,12-09-1960,Wicemarszałek Sejmu od 12-11-2015,Klub Poselski Nowoczesna,15752,Nowoczesna Ryszarda Petru,32  Sosnowiec,brak,,,"Uniwersytet Śląski, Wydział Prawa i administracji, Prawo - magister (1983)",25-10-2015,,wyższe,prawnik-sędzia,Barbara Dolniak
70,08-10-1963,,Klub Parlamentarny Platforma Obywatelska,16312,Platforma Obywatelska,1  Legnica,"poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Pedagogiczna, Wydział Pedagogiki, Pedagogika Pracy Socjalnej - magister (1998)",25-10-2015,,wyższe,nauczyciel,Ewa Drozd
71,25-12-1950,,Klub Parlamentarny Prawo i Sprawiedliwość,8085,Prawo i Sprawiedliwość,21  Opole,brak,,,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Elektrotechniki Górnictwa i Hutnictwa, Elektrotechnika Hutnicza - magister inżynier (1974)",25-10-2015,,wyższe,inżynier elektryk,Antoni Duda
72,20-11-1962,,Klub Parlamentarny Prawo i Sprawiedliwość,6555,Prawo i Sprawiedliwość,13  Kraków,brak,,,"Państwowe Studium Sztuk Plastycznych, Wydział Konserwacja rzeźby, Konserwacja rzeźby architektonicznej - technik (1983)",25-10-2015,,średnie policelane/pomaturalne,pracownik do spraw ubezpieczeń,Elżbieta Duda
73,17-05-1960,,Klub Parlamentarny Prawo i Sprawiedliwość,9110,Prawo i Sprawiedliwość,14  Nowy Sącz,brak,,,"Pomaturalne Studium Samochodowe, Budowa pojazdów samochodowych (1991)",25-10-2015,,średnie policelane/pomaturalne,rolnik-przedsiębiorca,Jan Duda
74,10-03-1969,,Klub Parlamentarny Platforma Obywatelska,8082,Platforma Obywatelska,11  Sieradz,"poseł VI kadencji, poseł VII kadencji",,,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Geodezja i kartografia, Geodezja inżynieryjno-gospodarcza - inżynier (1995)",25-10-2015,,wyższe,geodeta,Artur Dunin
75,10-02-1982,,Klub Parlamentarny Prawo i Sprawiedliwość,12783,Prawo i Sprawiedliwość,7  Chełm,poseł VII kadencji,,,"Uniwersytet Warszawski, Wydział Neofilologia, Instytut Germanistyki, Germanistyka - magister (2009)",25-10-2015,,wyższe,nauczyciel,Marcin Duszek
76,22-07-1975,,Klub Parlamentarny Prawo i Sprawiedliwość,24935,Prawo i Sprawiedliwość,2  Wałbrzych,poseł VII kadencji,,,"Uniwersytet Warszawski, Wydział Historii, Historia - magister (2001)",25-10-2015,,wyższe,historyk,Michał Dworczyk
77,03-08-1981,,Klub Parlamentarny Prawo i Sprawiedliwość,26665,Prawo i Sprawiedliwość,36  Kalisz,"poseł VI kadencji, poseł VII kadencji",http://www.dziedziczak.pl/,,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Politologia - magister (2007)",25-10-2015,,wyższe,politolog,Jan Dziedziczak
78,23-07-1959,,Klub Parlamentarny Platforma Obywatelska,27991,Platforma Obywatelska,39  Poznań,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Poznańska, Wydział Chemia i Technologia Organiczna - magister inżynier (1983)",25-10-2015,,wyższe,poseł,Waldy Dzikowski
79,17-12-1948,,Klub Parlamentarny Prawo i Sprawiedliwość,32910,Prawo i Sprawiedliwość,39  Poznań,"poseł X kadencji, poseł VII kadencji",, doktor,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Technologii Drewna - magister inżynier (1971)",25-10-2015,,wyższe,inżynier,Tadeusz Dziuba
80,02-12-1968,,Klub Parlamentarny Prawo i Sprawiedliwość,12036,Prawo i Sprawiedliwość,29  Gliwice,brak,,,"Wyższa Szkoła Zarządzania i Administracji, Wydział Marketing i Zarządzanie, Marketing i zarządznie - magister (2007)",25-10-2015,,wyższe,ekonomista,Barbara Dziuk
81,07-07-1950,,Klub Parlamentarny Platforma Obywatelska,3512,Platforma Obywatelska,19  Warszawa,"poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Polonistyki, Polonistyka - magister (1976)",25-10-2015,,wyższe,nauczyciel akademicki,Joanna Fabisiak
82,01-02-1951,,Klub Parlamentarny Prawo i Sprawiedliwość,9439,Prawo i Sprawiedliwość,27  Bielsko-Biała,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Geodezji Górniczej, Geodezja - magister inżynier (1976)",25-10-2015,,wyższe,parlamentarzysta,Jacek Falfus
83,29-03-1957,,Klub Parlamentarny Prawo i Sprawiedliwość,3915,Prawo i Sprawiedliwość,12  Chrzanów,brak,,,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Elektrotechniki, Elektroniki i Automatyki, Fizyka jądrowa - magister inżynier (1982)",25-10-2015,,wyższe,inżynier energetyk,Ewa Filipiak
84,13-01-1978,,Klub Parlamentarny Platforma Obywatelska,5761,Platforma Obywatelska,22  Krosno,brak,,,"Wyższa Szkoła Informatyki i Zarządzania, Wydział Ekonomiczny, Ekonomia w zakresie finansów, ubezpieczeń i bankowości - magister (2003)",25-10-2015,,wyższe,ekonomista,Joanna Frydrych
85,07-04-1957,,Klub Parlamentarny Platforma Obywatelska,14247,Nowoczesna Ryszarda Petru,26  Gdynia,brak,,,"Ateneum - Szkoła Wyższa Gdańsk, Wydział Humanistyczny, Dziennikarstwo - politologia - magister",25-10-2015,,wyższe,dyrektor generalny,Grzegorz Furgo
86,14-08-1962,,Klub Parlamentarny Platforma Obywatelska,11549,Platforma Obywatelska,30  Rybnik,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Śląska, Wydział Transportu, Eksploatacja i utrzymanie pojazdów - magister inżynier (1986)",25-10-2015,,wyższe,inżynier transportu drogowego,Krzysztof Gadowski
87,22-07-1990,,Klub Parlamentarny Platforma Obywatelska,4820,Platforma Obywatelska,20  Warszawa,brak,,,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Nauki polityczne - magister (2014)",25-10-2015,,wyższe,politolog,Kinga Gajewska
88,07-03-1966,,Klub Parlamentarny Prawo i Sprawiedliwość,7708,Prawo i Sprawiedliwość,37  Konin,brak,,,"Zespół Szkół Zawodowych, Mechanika Maszyn (1984)",25-10-2015,,średnie zawodowe,rolnik,Leszek Galemba
89,22-07-1956,,Poseł niezrzeszony,9623,Mniejszość Niemiecka,21  Opole,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Opolska, Wydział Mechaniczny, Technologia maszyn - inżynier (1996)",25-10-2015,,wyższe,inżynier mechanik,Ryszard Galla
90,03-10-1960,,Klub Parlamentarny Platforma Obywatelska,11733,Platforma Obywatelska,16  Płock,poseł VII kadencji,,,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej, Pedagogika specjalna - resocjalizacja - magister (1985)",25-10-2015,,wyższe,pedagog,Elżbieta Gapińska
91,08-05-1983,,Klub Poselski Nowoczesna,19041,Nowoczesna Ryszarda Petru,20  Warszawa,brak,,,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Prawa i Administracji, Prawo - magister (2007)",25-10-2015,,wyższe,prawnik,Kamila Gasiuk-Pihowicz
92,12-09-1960,,Klub Parlamentarny Platforma Obywatelska,8414,Platforma Obywatelska,23  Rzeszów,brak,, doktor habilitowany,"UMCS filia w Rzeszowie, Wydział Prawa i Administracji, Administracja - magister (1983)",25-10-2015,,wyższe,nauczyciel akademicki,Zdzisław Gawlik
93,27-11-1968,,Klub Parlamentarny Platforma Obywatelska,14264,Platforma Obywatelska,40  Koszalin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Bałtycka Wyższa Szkoła Zawodowa, Wydział Administracja, Administracja - licencjat (2000)",25-10-2015,,wyższe,ekonomista,Stanisław Gawłowski
94,06-01-1965,,Klub Parlamentarny Prawo i Sprawiedliwość,9202,Prawo i Sprawiedliwość,28  Częstochowa,brak,,,"Technikum Elektryczne w Kaletach, Elektronika - technik (1985)",25-10-2015,,średnie zawodowe,przedsiębiorca,Andrzej Gawron
95,11-01-1967,,Klub Parlamentarny Platforma Obywatelska,9082,Platforma Obywatelska,13  Kraków,poseł VII kadencji,,,"Śląska Akademia Medyczna, Wydział Lekarski - lekarz (1992)",25-10-2015,,wyższe,lekarz,Lidia Gądek
96,22-04-1955,,Klub Parlamentarny Platforma Obywatelska,13540,Platforma Obywatelska,34  Elbląg,"senator VI kadencji, poseł VII kadencji",,,"Akademia Medyczna w Poznaniu, Wydział Pielęgniarstwo, Pielęgniarstwo - magister (1984)",25-10-2015,,wyższe,menadżer,Elżbieta Gelert
97,21-04-1979,,Klub Parlamentarny Platforma Obywatelska,5087,Platforma Obywatelska,33  Kielce,"poseł VI kadencji, poseł VII kadencji",,,"Akademia Świętokrzyska, Wydział Zarządzania i Administracji, Politologia - magister (2007)",25-10-2015,,wyższe,politolog,Artur Gierada
98,08-03-1956,,Klub Parlamentarny Prawo i Sprawiedliwość,24802,Prawo i Sprawiedliwość,28  Częstochowa,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Śląski, Wydział Filologiczny, Filologia polska - magister (1983)",25-10-2015,,wyższe,poseł na Sejm RP,Szymon Giżyński
99,27-05-1958,,Klub Parlamentarny Prawo i Sprawiedliwość,6354,Prawo i Sprawiedliwość,30  Rybnik,brak,,,"Wyższa Szkoła Pedagogiczna w Opolu, Wydział Filologiczno-Historyczny, Filologia polska - magister (1985)",25-10-2015,,wyższe,nauczyciel języka polskiego,Teresa Glenc
100,20-04-1954,,Klub Parlamentarny Prawo i Sprawiedliwość,41697,Prawo i Sprawiedliwość,9  Łódź,brak,,profesor doktor habilitowany(2008),"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych, Ekonomia - magister (1978)",25-10-2015,,wyższe,socjolog,Piotr Gliński
101,13-05-1972,,Klub Parlamentarny Prawo i Sprawiedliwość,11761,Prawo i Sprawiedliwość,28  Częstochowa,brak,, doktor habilitowany,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1997)",25-10-2015,,wyższe,nauczyciel akademicki,Konrad Głębocki
102,30-12-1974,,Klub Parlamentarny Platforma Obywatelska,8982,Platforma Obywatelska,29  Gliwice,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Uniwersytet Śląski, Wydział Filologia Polska, Filologia polska - magister (1999)",25-10-2015,,wyższe,nauczyciel akademicki,Tomasz Głogowski
103,02-08-1956,,Klub Parlamentarny Prawo i Sprawiedliwość,9924,Prawo i Sprawiedliwość,6  Lublin,"senator IV kadencji, poseł VII kadencji",,,"Technikum Rolniczo-Łąkarskie w Radoryżu Smolanym, Rolnictwo - technik (1976)",25-10-2015,,średnie zawodowe,parlamentarzysta,Krzysztof Głuchowski
104,14-04-1985,,Klub Parlamentarny Platforma Obywatelska,14323,Nowoczesna Ryszarda Petru,29  Gliwice,brak,,,"Szkoła Główna Handlowa w Warszawie, Finanse i rachunkowość - magister (2009)",25-10-2015,,wyższe,ekonomista,Marta Golbik
105,30-10-1980,,Klub Parlamentarny Prawo i Sprawiedliwość,7612,Prawo i Sprawiedliwość,40  Koszalin,brak,,,"Akademia Rolnicza w Poznaniu, Wydział Leśny, Gospodarka leśna - magister inżynier (2005)",25-10-2015,,wyższe,leśnik,Małgorzata Golińska
106,05-02-1964,,Klub Parlamentarny Prawo i Sprawiedliwość,19118,Prawo i Sprawiedliwość,23  Rzeszów,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Rolnicza w Krakowie, Wydział Techniki i Energetyki Rolnictwa, Eksploatacja maszyn - magister inżynier (1990)",25-10-2015,,wyższe,inżynier mechanizacji rolnictwa,Kazimierz Gołojuch
107,28-04-1970,,Klub Parlamentarny Prawo i Sprawiedliwość,4884,Prawo i Sprawiedliwość,29  Gliwice,brak,,,Zespół Szkół Ekonomiczno-Technicznych - technik (1989),25-10-2015,,średnie policelane/pomaturalne,informatyk,Jarosław Gonciarz
108,22-07-1966,,Klub Parlamentarny Prawo i Sprawiedliwość,13976,Prawo i Sprawiedliwość,19  Warszawa,"poseł V kadencji, poseł VII kadencji",,,Liceum Ogólnokształcące w Czersku (1985),25-10-2015,,średnie ogólne,parlamentarzysta,Małgorzata Gosiewska
109,20-11-1952,,Klub Parlamentarny Prawo i Sprawiedliwość,5092,Prawo i Sprawiedliwość,35  Olsztyn,"poseł V kadencji, poseł VI kadencji",,,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Leśny, Gospodarka leśna - magister inżynier (1975)",25-10-2015,,wyższe,inżynier leśnictwa,Jerzy Gosiewski
