,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
264,10-07-1961,,Klub Parlamentarny Platforma Obywatelska,6259,Platforma Obywatelska,38  Piła,poseł VII kadencji,, doktor habilitowany,"Akademia Ekonomiczna w Poznaniu, Wydział Ekonomiki Produkcji i Obrotu, Handel zagraniczny - magister (1987)",25-10-2015,,wyższe,"ekonomista, nauczyciel akademicki",Killion Munyama
265,13-12-1957,,Klub Parlamentarny Prawo i Sprawiedliwość,5758,Prawo i Sprawiedliwość,2  Wałbrzych,brak,,,"Politechnika Wrocławska, Wydział Elektroniki, Cybernetyka - magister inżynier (1981)",25-10-2015,,wyższe,inżynier elektronik,Wojciech Murdzek
266,01-02-1984,,Klub Parlamentarny Platforma Obywatelska,13400,Platforma Obywatelska,5  Toruń,brak,,,"Uniwersytet im. Mikołaja Kopernika w Toruniu, Wydział Prawa i Administracji, Prawo - magister (2009)",25-10-2015,,wyższe,radca prawny,Arkadiusz Myrcha
267,02-02-1951,,Klub Parlamentarny Prawo i Sprawiedliwość,20408,Prawo i Sprawiedliwość,14  Nowy Sącz,poseł VII kadencji,, doktor,"Uniwersytet Warszawski, Wydział Chemii, Chemia - magister (1975)",25-10-2015,,wyższe,biochemik,Piotr Naimski
268,19-03-1964,,Klub Parlamentarny Platforma Obywatelska,15875,Platforma Obywatelska,32  Sosnowiec,poseł VII kadencji,,,"Akademia Ekonomiczna w Krakowie, Wydział Ekonomiki Produkcji, Ekonomika i organizacja handlu zagranicznego - magister (1989)",25-10-2015,,wyższe,parlamentarzysta,Anna Nemś
269,30-04-1968,,Klub Parlamentarny Platforma Obywatelska,20514,Platforma Obywatelska,25  Gdańsk,"poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Bankowa w Poznaniu, Wydział Bankowości, Bankowość - licencjat (1998)",25-10-2015,,wyższe,ekonomista,Sławomir Neumann
270,20-08-1964,,Klub Parlamentarny Platforma Obywatelska,7967,Platforma Obywatelska,12  Chrzanów,poseł VII kadencji,,,"Uniwersytet Przyrodniczy we Wrocławiu, Wydział Medycyny Weterynaryjnej, Weterynaria - lekarz weterynarii (1991)",25-10-2015,,wyższe,lekarz weterynarii,Dorota Niedziela
271,25-10-1969,,Klub Parlamentarny Platforma Obywatelska,17741,Platforma Obywatelska,9  Łódź,poseł VII kadencji,,,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny, Cybernetyka ekonomiczna i informatyka w zakresie przetwarzania danych rach. - magister (1993)",25-10-2015,,wyższe,ekonomista,Małgorzata Niemczyk
272,04-02-1944,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,29304,Platforma Obywatelska,8  Zielona Góra,"poseł X kadencji, poseł I kadencji, poseł III kadencji, senator VI kadencji, poseł VI kadencji, poseł VII kadencji",http://www.stefan-niesiolowski.pl/,profesor doktor habilitowany(2005),"Uniwersytet Łódzki, Wydział Biologii i Nauk o Ziemi, Biologia - magister (1966)",25-10-2015,,wyższe,parlamentarzysta,Stefan Niesiołowski
273,26-04-1973,,Klub Parlamentarny Platforma Obywatelska,20930,Platforma Obywatelska,41  Szczecin,"poseł V kadencji, poseł VI kadencji",,,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia - magister (1998)",25-10-2015,,wyższe,politolog,Sławomir Nitras
274,22-12-1956,,Klub Parlamentarny Platforma Obywatelska,11820,Platforma Obywatelska,37  Konin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Gdański, Wydział Humanistyczny, Filologia polska - magister (1979)",25-10-2015,,wyższe,parlamentarzysta,Tomasz Piotr Nowak
275,23-09-1953,,Klub Parlamentarny Platforma Obywatelska,26927,Platforma Obywatelska,27  Bielsko-Biała,"senator VI kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Śląski, Wydział Pedagogiczno-Artystyczny, Pedagogika - magister (1983)",25-10-2015,,wyższe,przedsiębiorca,Mirosława Nykiel
276,23-12-1951,,Klub Parlamentarny Platforma Obywatelska,21708,Platforma Obywatelska,9  Łódź,brak,,profesor doktor habilitowany(2002),"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1973)",25-10-2015,,wyższe,nauczyciel akademicki,Włodzimierz Nykiel
277,22-11-1972,,Klub Parlamentarny Platforma Obywatelska,16617,Platforma Obywatelska,41  Szczecin,senator VIII kadencji,,,"Uniwersytet Szczeciński, Wydział Humanistyczny, Filologia germańska - magister (1997)",25-10-2015,,wyższe,germanista,Norbert Obrycki
278,20-05-1972,,Klub Parlamentarny Platforma Obywatelska,13019,Platforma Obywatelska,33  Kielce,"poseł VI kadencji, poseł VII kadencji",,,"Katolicki Uniwersytet Lubelski, Wydział Nauk Społecznych, Socjologia - magister (1996)",25-10-2015,,wyższe,poseł na Sejm RP,Marzena Okła-Drewnowicz
279,11-12-1979,,Klub Parlamentarny Platforma Obywatelska,14438,Platforma Obywatelska,4  Bydgoszcz,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Zarządzanie i marketing - magister (2003)",25-10-2015,,wyższe,ekonomista,Paweł Olszewski
280,16-06-1981,,Klub Parlamentarny Prawo i Sprawiedliwość,8174,Prawo i Sprawiedliwość,7  Chełm,brak,,,"Uniwersytet im. M. Curie Skłodowskiej w Lublinie, Wydział Psychologii i Pedagogiki, Pedagogika - magister (2008)",25-10-2015,,wyższe,pedagog,Piotr Olszówka
281,25-12-1955,,Klub Parlamentarny Prawo i Sprawiedliwość,4983,Prawo i Sprawiedliwość,34  Elbląg,"poseł IV kadencji, poseł V kadencji",,,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolny, Rolnictwo - inżynier (1982)",25-10-2015,,wyższe,rolnik,Adam Ołdakowski
282,24-09-1976,,Klub Parlamentarny Prawo i Sprawiedliwość,14708,Prawo i Sprawiedliwość,16  Płock,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Nauki polityczne - magister (2003)",25-10-2015,,wyższe,politolog,Marek Opioła
283,17-11-1980,,Klub Parlamentarny Platforma Obywatelska,5749,Platforma Obywatelska,8  Zielona Góra,brak,,,"Wyższa Szkoła Handlu i Prawa w Warszawie, Wydział Prawa, Prawo - magister (2004)",25-10-2015,,wyższe,radca prawny,Katarzyna Osos
284,04-01-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,9443,Prawo i Sprawiedliwość,37  Konin,brak,,,"Akademia Medyczna w Poznaniu, Wydział Lekarski - lekarz (1985)",25-10-2015,,wyższe,lekarz medycyny,Krzysztof Ostrowski
285,28-08-1958,,Klub Parlamentarny Prawo i Sprawiedliwość,10219,Prawo i Sprawiedliwość,13  Kraków,"poseł VI kadencji, poseł VII kadencji",,,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Mechaniczny, Budowa maszyn - inżynier (1988)",25-10-2015,,wyższe,parlamentarzysta,Jacek Osuch
