,PiS,PO,Kukiz15,N,PSL-UED,WiS,niez.,Republikanie,posel,najblizsza_partia,partia_ostatnio
301,0.0920841493591,0.711425666078,0.574443558748,0.735335716737,0.99980735889,0.368352276376,0.456621120804,0.918705451743,PAW ?OWICZ KRYSTYNA,PiS,PiS
302,0.728943918915,0.284131309823,0.576940905949,0.396779881845,0.99980735889,0.785462017595,0.587356780508,0.914659988442,PAW ?OWICZ ZBIGNIEW,PO,PO
303,0.754487353767,0.375110456213,0.591312656618,0.265650487341,0.99980735889,0.823951711295,0.626980916299,0.933538817184,PETRU RYSZARD,N,N
304,0.70961319242,0.17423086472,0.5356704508,0.320072028202,0.99980735889,0.783079689206,0.563679429905,0.921338213575,PIECHOTA S?AWOMIR JAN,PO,PO
305,0.209496020799,0.64084486913,0.548492836813,0.665173488625,0.833943363514,0.258514737045,0.498668100773,0.75130032749,PIECHOWIAK GRZEGORZ,PiS,PiS
306,0.711483001699,0.153859266325,0.524391458962,0.301068658927,0.99980735889,0.762357927182,0.573487002841,0.912412508829,PIETRASZEWSKA DANUTA,PO,PO
307,0.0635499036839,0.70598100769,0.565891881175,0.730460977508,0.99980735889,0.351534707507,0.438098525225,0.917934887305,PIONTKOWSKI DARIUSZ,PiS,PiS
308,0.0522743698002,0.701472721706,0.560510012854,0.727713250182,0.99980735889,0.339045142233,0.431546663487,0.91722853657,PIOTROWICZ STANIS?AW,PiS,PiS
309,0.753438917246,0.239767593092,0.586277404234,0.370052593925,0.99980735889,0.824587426957,0.62456525794,0.9218519232,PIOTROWSKA TERESA,PO,PO
310,0.0754296455066,0.706804721369,0.566770086065,0.72999188993,0.99980735889,0.361160341617,0.448208055456,0.917485391383,PI?TA STANIS?AW,PiS,PiS
311,0.694673002113,0.108050350868,0.508451886262,0.266032147447,0.99980735889,0.767003788608,0.548949112169,0.908174404418,PLOCKE KAZIMIERZ,PO,PO
312,0.0651841060449,0.705442665512,0.566895990507,0.729742720018,0.99980735889,0.349810569576,0.438691813976,0.918320169524,POLACZEK JERZY,PiS,PiS
313,0.0484106416828,0.701125958356,0.557856089206,0.726857314527,0.99980735889,0.337401271431,0.429012821336,0.917678032492,POLAK MAREK,PiS,PiS
314,0.0459410856064,0.70019054683,0.558516577586,0.72599109957,0.99980735889,0.335667501445,0.428534811472,0.91722853657,POLAK PIOTR,PiS,PiS
315,0.730539702739,0.215223306456,0.556410629494,0.335113769691,0.99980735889,0.788293841906,0.578325123153,0.914852629551,POMASKA AGNIESZKA,PO,PO
316,0.469227104432,0.602819838926,0.354233854632,0.621988837093,0.99980735889,0.537863610094,0.537353264044,0.905991138509,PORWICH JAROS?AW,Kukiz15,WiS
317,0.047494064261,0.701217070262,0.559066140282,0.72737659449,0.99980735889,0.33637385218,0.430178452939,0.917421177679,PORZUCEK MARCIN,PiS,PiS
318,0.709397100501,0.135952438838,0.529429082259,0.297043520189,0.99980735889,0.770211263084,0.571037020729,0.910036601811,PROTAS JACEK,PO,PO
319,0.753335792975,0.268693160031,0.566973630224,0.331992095642,0.99980735889,0.817623450844,0.613124975155,0.920952931356,PROTASIEWICZ JACEK,PO,UED
320,0.489236785941,0.502621579996,0.49834700056,0.504602746512,0.511365825467,0.511365825467,0.495280292814,0.511365825467,PSZCZÓ?KOWSKI PIOTR,PiS,
321,0.0473176371394,0.701496544625,0.559348239038,0.72764112318,0.99980735889,0.33637385218,0.430176618262,0.917356963976,PUDA GRZEGORZ,PiS,PiS
322,0.726431095509,0.290398035352,0.549698353436,0.211685408791,0.99980735889,0.787420535542,0.600123458489,0.907532267386,PUD?OWSKI PAWE?,N,N
323,0.0838786928205,0.710097603988,0.570418433102,0.736371658928,0.99980735889,0.34599306492,0.446598355518,0.918384383227,PYZIK PIOTR,PiS,PiS
324,0.686186299988,0.0988339673303,0.504026260636,0.259885616525,0.99980735889,0.760784691453,0.542053630673,0.906376420728,P?PEK MA?GORZATA,PO,PO
325,0.340577178857,0.675309078544,0.587192083056,0.681272795365,0.87333847043,0.385121684968,0.551475386276,0.794291401785,RACZAK GRZEGORZ,PiS,PiS
326,0.716360680433,0.16933062255,0.537463761974,0.320494108362,0.99980735889,0.7833622295,0.578576626824,0.923007769858,RADZISZEWSKA EL?BIETA,PO,PO
327,0.0837458256666,0.716382380092,0.579562977481,0.73841465496,0.99980735889,0.371684967572,0.45533730541,0.924420471329,RAFALSKA EL?BIETA,PiS,PiS
328,0.692873190866,0.114519678873,0.508638466264,0.271844882535,0.99980735889,0.766030951005,0.548822748775,0.909394464779,RANIEWICZ GRZEGORZ,PO,PO
329,0.705633698001,0.173507902309,0.526937635544,0.311021890996,0.999711038336,0.778870480961,0.563944693655,0.925608424838,RA? IRENEUSZ,PO,PO
330,0.537506448135,0.486844144443,0.229475027984,0.519325334232,0.99980735889,0.651171900083,0.49553875297,0.902459384833,ROMECKI STEFAN,Kukiz15,Kukiz15
331,0.717254843686,0.255821685633,0.529371136229,0.159039491868,0.99980735889,0.787545752264,0.581784865747,0.909651319592,ROSA MONIKA,N,N
332,0.733558691112,0.241377540928,0.552034307389,0.356969250905,0.99980735889,0.78476208823,0.574756140818,0.91703589546,ROZPONDEK HALINA,PO,PO
333,0.748096567798,0.331130132277,0.5781407972,0.237127670336,0.99980735889,0.804180312079,0.603269929946,0.923264624671,RUCI?SKI MAREK,N,N
334,0.0508548161436,0.701182267973,0.561377625709,0.726812061189,0.99980735889,0.339006614011,0.431457070082,0.917485391383,RUSECKA URSZULA,PiS,PiS
335,0.690715318703,0.105312758232,0.506047861147,0.26545173883,0.99980735889,0.762685417068,0.547987282629,0.906697489244,RUSZCZYK LESZEK,PO,PO
336,0.692179955386,0.10398579196,0.508952373566,0.264812910921,0.99980735889,0.764740255571,0.547156097397,0.908110190715,RUTKOWSKA DOROTA,PO,PO
337,0.697787431704,0.127550774074,0.516402847744,0.281656190445,0.99980735889,0.770464907211,0.552101164103,0.909073396263,RUTNICKI JAKUB,PO,PO
338,0.236002134243,0.607312292353,0.468425296374,0.632161706228,0.99980735889,0.496269183844,0.4415354108,0.914852629551,RZEPECKI ?UKASZ,PiS,Kukiz15
339,0.053744285835,0.700068097199,0.560863704495,0.726834677725,0.99980735889,0.342281512875,0.432470347029,0.918384383227,RZO?CA BOGDAN,PiS,PiS
340,0.548510753593,0.509529470899,0.260171801357,0.535042964723,0.99980735889,0.657933603031,0.499266129106,0.902652025942,RZYMKOWSKI TOMASZ,Kukiz15,Kukiz15
341,0.692882046665,0.126258656032,0.508728249469,0.276563806301,0.99980735889,0.765793360303,0.551230074641,0.905862711103,RZ?SA MAREK,PO,PO
342,0.565436692554,0.496147031634,0.259733460168,0.528005919076,0.99980735889,0.669777820587,0.512554084756,0.901945675207,SACHAJKO JAROS?AW,Kukiz15,Kukiz15
343,0.501396501563,0.705665462139,0.568461372817,0.701937363292,0.99980735889,0.657933603031,0.423187797562,0.924869967251,SANOCKI JANUSZ,niez.,niez.
344,0.0575270144075,0.703327800116,0.561866308005,0.728217101074,0.99980735889,0.346063699994,0.435211737042,0.917549605086,SASIN JACEK,PiS,PiS
345,0.702701349562,0.341540402674,0.546972441855,0.382678366188,0.99980735889,0.78315674565,0.602269801519,0.912733577345,SAWICKI MAREK,PO,UED
346,0.710201316039,0.149785280345,0.532917596463,0.300333861808,0.999711038336,0.77295318821,0.574226454211,0.912765684197,SCHETYNA GRZEGORZ,PO,PO
347,0.733765493239,0.313750457543,0.567153039612,0.205706845326,0.99980735889,0.80511462146,0.605168973773,0.928722789443,SCHEURING-WIELGUS JOANNA,N,N
348,0.747116385611,0.324733402451,0.571224667395,0.222405165877,0.99980735889,0.814293970333,0.611351530274,0.924163616516,SCHMIDT JOANNA,N,N
349,0.0698150016507,0.702055386168,0.563959158275,0.725327596395,0.99980735889,0.349184485969,0.441178260298,0.918127528415,SCHMIDT-RODZIEWICZ ANNA,PiS,PiS
350,0.0935863833456,0.712825569441,0.575974016308,0.735598941223,0.99980735889,0.372917870674,0.456581522354,0.92043922173,SCHREIBER GRZEGORZ,PiS,PiS
351,0.0567524957116,0.702750773981,0.561655779091,0.727567247584,0.99980735889,0.343212611571,0.434326887501,0.918512810634,SCHREIBER ?UKASZ,PiS,PiS
352,0.0515531418328,0.700661138166,0.560509870299,0.726522296297,0.99980735889,0.339208887177,0.431646347616,0.917742246195,SELLIN JAROS?AW,PiS,PiS
353,0.0782918051848,0.703675809311,0.566159377207,0.728953673394,0.99980735889,0.362605149939,0.441762681442,0.917613818789,SIARKA EDWARD,PiS,PiS
354,0.380509646425,0.591400303,0.391595026072,0.617114190762,0.99980735889,0.509205034354,0.502982802959,0.837988826816,SIARKOWSKA ANNA MARIA,PiS,PiS
355,0.709811924018,0.145830278039,0.532031380533,0.295851963418,0.99980735889,0.778488409427,0.574045585614,0.907403839979,SIBI?SKA KRYSTYNA,PO,PO
