data_uro,klub,glosy_cnt,lista,okreg,staz,tytul,szkola,wybrany,wyksztalcenie,zawod,nazwisko,kadencje_cnt
13-06-63,Klub Parlamentarny Prawo i Sprawiedliwo??,15106,Prawo i Sprawiedliwo??,24  Bia?ystok,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Warszawski, Wydzia? Prawa i Administracji, Administracja - magister (1992)",25-10-15,wy?sze,pose? na Sejm RP,Lech Ko?akowski,3
15-03-63,Klub Parlamentarny Prawo i Sprawiedliwo??,10960,Prawo i Sprawiedliwo??,16  P?ock,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Wy?sza Szko?a Humanistyczna w Pu?tusku, Wydzia? Historii, specjalno?? nauczycielska i europeistyka - magister (1999)",25-10-15,wy?sze,historyk,Robert Ko?akowski,3
24-03-74,Klub Parlamentarny Platforma Obywatelska,10783,Platforma Obywatelska,26  Gdynia,"pose? VI kadencji, pose? VII kadencji",,"Wy?sza Szko?a Pedagogiczna, Wydzia? Filozoficzno-Historyczny, Historia - magister (1999)",25-10-15,wy?sze,historyk,Zbigniew Konwi?ski,2
03-12-56,Klub Parlamentarny Platforma Obywatelska,230894,Platforma Obywatelska,19  Warszawa,"pose? IV kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Akademia Medyczna, Wydzia? Lekarski - lekarz (1981)",25-10-15,wy?sze,lekarz medycyny,Ewa Kopacz,4
02-01-67,Klub Parlamentarny Prawo i Sprawiedliwo??,17911,Prawo i Sprawiedliwo??,9  ?ód?,brak,,"Akademia Medyczna, Wydzia? Lekarski - lekarz (1997)",25-10-15,wy?sze,lekarz,Joanna Kopci?ska,0
20-08-74,Klub Parlamentarny Platforma Obywatelska,28727,Platforma Obywatelska,25  Gda?sk,brak,,"Akademia Wychowania Fizycznego w Gda?sku, Wychowanie fizyczne - magister (2000)",25-10-15,wy?sze,nauczyciel akademicki,Adam Korol,0
01-01-55,Klub Parlamentarny Platforma Obywatelska,20084,Platforma Obywatelska,21  Opole,"pose? IV kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Akademia Rolnicza we Wroc?awiu, Wydzia? Ekonomika i Zarz?dzanie, Rolnictwo - magister in?ynier (1981)",25-10-15,wy?sze,parlamentarzysta,Leszek Korzeniowski,4
15-02-66,Klub Parlamentarny Platforma Obywatelska,3258,Platforma Obywatelska,19  Warszawa,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Liceum Ekonomiczne dla Doros?ych nr 9 w ZSE nr 5, Ekonomika i organizacja przedsi?biorstwa handlowego - technik (2000)",25-10-15,?rednie zawodowe,trener pi?karski,Roman Jacek Kosecki,3
10-08-81,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,12171,Polskie Stronnictwo Ludowe,15  Tarnów,brak, doktor,"Uniwersytet Jagiello?ski w Krakowie, Wydzia? Lekarski - lekarz (2006)",25-10-15,wy?sze,lekarz,W?adys?aw Kosiniak-Kamysz,0
23-04-77,Klub Parlamentarny Prawo i Sprawiedliwo??,8183,Prawo i Sprawiedliwo??,35  Olsztyn,pose? VI kadencji,,"Uniwersytet Warmi?sko-Mazurski, Wydzia? administracja, Prawo i administracja - magister (2002)",25-10-15,wy?sze,prawnik,Wojciech Kossakowski,1
07-03-74,Klub Parlamentarny Platforma Obywatelska,11016,Platforma Obywatelska,21  Opole,brak,,"Uniwersytet Opolski, Wydzia? humanistyczno-historyczny, Politologia i nauki spo?eczne - magister (1998)",25-10-15,wy?sze,wy?szy urz?dnik samorz?dowy,Tomasz Kostu?,0
31-03-76,Klub Parlamentarny Prawo i Sprawiedliwo??,23521,Prawo i Sprawiedliwo??,17  Radom,brak,,"Politechnika Radomska, Wydzia? Ekonomiczny, Ekonomia - magister (2001)",25-10-15,wy?sze,ekonomista,Andrzej Kosztowniak,0
22-02-51,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,6851,Polskie Stronnictwo Ludowe,33  Kielce,brak,,"Akademia Rolnicza w Lublinie, Wydzia? Rolniczy - magister in?ynier (1974)",25-10-15,wy?sze,pracownik samorz?dowy,Kazimierz Kotowski,0
15-07-56,Klub Parlamentarny Prawo i Sprawiedliwo??,22850,Prawo i Sprawiedliwo??,18  Siedlce,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Warszawski, Wydzia? Matematyki, Matematyka - magister (1979)",25-10-15,wy?sze,parlamentarzysta,Henryk Kowalczyk,3
11-08-79,Klub Parlamentarny Prawo i Sprawiedliwo??,9044,Prawo i Sprawiedliwo??,4  Bydgoszcz,pose? VII kadencji,,"Uniwersytet Warszawski, Wydzia? Prawa i Administracji, Prawo - magister (2003)",25-10-15,wy?sze,adwokat,Bartosz Kownacki,1
29-05-74,Klub Parlamentarny Prawo i Sprawiedliwo??,6851,Prawo i Sprawiedliwo??,4  Bydgoszcz,brak,,"Uniwersytet Kazimierza Wielkiego w Bydgoszczy, Wydzia? Administracji i Nauk Spo?ecznych, Administracja - magister (2012)",25-10-15,wy?sze,ekonomista,Ewa Kozanecka,0
12-02-62,Klub Poselski Kukiz'15,10587,Kukiz'15,36  Kalisz,brak,,"Policealne Studium Zawodowe przy MERA-ZAP, Telewizja radioelektronika - technik (1982)",25-10-15,?rednie policelane/pomaturalne,przedsi?biorca,Jerzy Koz?owski,0
09-03-79,Klub Parlamentarny Prawo i Sprawiedliwo??,20503,Prawo i Sprawiedliwo??,38  Pi?a,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Warszawski, Wydzia? Prawa i Administracji, Prawo - magister (2000)",25-10-15,wy?sze,parlamentarzysta,Maks Kraczkowski,3
09-03-83,Klub Parlamentarny Prawo i Sprawiedliwo??,4753,Prawo i Sprawiedliwo??,19  Warszawa,brak,,"Uniwersytet Warszawski, Wydzia? dziennikarstwa i nauk politycznych, Politologia - magister (2008)",25-10-15,wy?sze,politolog,Jaros?aw Krajewski,0
03-06-64,Klub Parlamentarny Prawo i Sprawiedliwo??,13060,Prawo i Sprawiedliwo??,15  Tarnów,brak,,"Uniwersytet Rzeszowski, Wydzia? Prawa, Administracja - magister (2004)",25-10-15,wy?sze,przedsi?biorca,Wies?aw Krajewski,0
08-11-50,Klub Parlamentarny Prawo i Sprawiedliwo??,10194,Prawo i Sprawiedliwo??,34  Elbl?g,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,Liceum Ogólnokszta?c?ce w Gda?sku (1968),25-10-15,?rednie ogólne,pose? na Sejm,Leonard Krasulski,3
23-07-74,Klub Parlamentarny Platforma Obywatelska,8439,Platforma Obywatelska,1  Legnica,"pose? VI kadencji, pose? VII kadencji", doktor,"Uniwersytet Wroc?awski, Wydzia? Nauk Spo?ecznych, Politologia - magister (1999)",25-10-15,wy?sze,nauczyciel akademicki,Robert Kropiwnicki,2
26-06-74,Klub Parlamentarny Prawo i Sprawiedliwo??,10773,Prawo i Sprawiedliwo??,4  Bydgoszcz,pose? VII kadencji,,"Wy?sza Szko?a Pedagogiczna w Bydgoszczy, Politologia - magister (1999)",25-10-15,wy?sze,politolog,Piotr Król,1
22-04-85,Klub Parlamentarny Platforma Obywatelska,7465,Platforma Obywatelska,31  Katowice,brak,,"Uniwersytet ?l?ski, Wydzia? Radia i telewizji, Organizacja produkcji filmowej i TV - licencjat (2007)",25-10-15,wy?sze,pracownik administracji,Wojciech Król,0
19-11-59,Klub Parlamentarny Prawo i Sprawiedliwo??,43432,Prawo i Sprawiedliwo??,6  Lublin,"pose? IV kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Katolicki Uniwersytet Lubelski Jana Paw?a II, Historia - magister (1984)",25-10-15,wy?sze,historyk,El?bieta Kruk,4
30-10-81,Klub Parlamentarny Prawo i Sprawiedliwo??,27568,Prawo i Sprawiedliwo??,33  Kielce,brak,,"Uniwersytet Warszawski, Wydzia? filozofii i socjologii, Socjologia - magister (2008)",25-10-15,wy?sze,socjolog,Anna Krupka,0
09-06-60,Klub Parlamentarny Prawo i Sprawiedliwo??,4779,Prawo i Sprawiedliwo??,33  Kielce,brak,,"Uniwersytet Marii Curie-Sk?odowskiej w Lublinie, Wydzia? humanistyczny, Historia - magister (1984)",25-10-15,wy?sze,urz?dnik samorz?dowy,Andrzej Kryj,0
16-04-70,Klub Parlamentarny Prawo i Sprawiedliwo??,7624,Prawo i Sprawiedliwo??,24  Bia?ystok,brak,,"Wszechnica Mazurska w Olecku, Wydzia? Pedagogiczny, Pedagogika opieku?czo-wychowawcza z promocj? zdrowia - licencjat (1999)",25-10-15,wy?sze,piel?gniarka,Bernadeta Krynicka,0
22-10-67,Klub Parlamentarny Platforma Obywatelska,15404,Platforma Obywatelska,30  Rybnik,"pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Wroc?awski, Wydzia? Filologiczny, Filologia germa?ska - magister (1995)",25-10-15,wy?sze,nauczyciel j?zyka obcego,Marek Krz?ka?a,2
27-03-53,Klub Parlamentarny Platforma Obywatelska,24333,Platforma Obywatelska,26  Gdynia,brak,,Liceum Ogólnokszta?c?ce Centrum Kszta?cenia Ustawicznego w Ko?cierzynie (2004),25-10-15,?rednie ogólne,emeryt,Henryka Krzywonos-Strycharska,0
15-04-71,Klub Parlamentarny Prawo i Sprawiedliwo??,8004,Prawo i Sprawiedliwo??,10  Piotrków Trybunalski,brak,,"Technikum Górnicze, Wydzia? Elektryczny, Eksploatacja maszyn i urz?dze? górnictwa - technik (1991)",25-10-15,?rednie zawodowe,samorz?dowiec,Dariusz Kubiak,0
22-07-84,Klub Parlamentarny Prawo i Sprawiedliwo??,14551,Prawo i Sprawiedliwo??,1  Legnica,brak,,"Uniwersytet Wroc?awski, Wydzia? Prawa, Administracji i Ekonomii, Administracja - magister (2008)",25-10-15,wy?sze,administratywista,Krzysztof Kubów,0
16-02-74,Klub Parlamentarny Platforma Obywatelska,7105,Platforma Obywatelska,8  Zielona Góra,brak,,"Akademia Wychowania Fizycznego, Wydzia? Wychowanie Fizyczne, Nauczycielski z Menad?erstwem i Zarz?dzaniem Sportem - magister (2012)",25-10-15,wy?sze,urz?dnik samorz?dowy,Tomasz Kucharski,0
09-08-55,Klub Parlamentarny Prawo i Sprawiedliwo??,34558,Prawo i Sprawiedliwo??,22  Krosno,"pose? IV kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,Pomaturalne Studium Ogrodnictwa - technik (1978),25-10-15,?rednie policelane/pomaturalne,polityk,Marek Kuchci?ski,4
24-06-63,Klub Poselski Kukiz'15,76675,Kukiz'15,19  Warszawa,brak,,Liceum Ogólnokszta?c?ce w Niemodlinie (1981),25-10-15,?rednie ogólne,muzyk,Pawe? Kukiz,0
12-11-90,Klub Poselski Kukiz'15,15058,Kukiz'15,6  Lublin,brak,,"Politechnika Warszawska, Wydzia? Elektroniki i Technik Informacyjnych, Elektronika Informatyka i Telekomunikacja - in?ynier (2013)",25-10-15,wy?sze,konsultant ds. systemów informatycznych,Jakub Kulesza,0
25-04-53,Klub Parlamentarny Prawo i Sprawiedliwo??,7848,Prawo i Sprawiedliwo??,16  P?ock,brak,,,25-10-15,,wy?szy urz?dnik pa?stwowy,Józef Kurek,0
05-10-61,Klub Parlamentarny Prawo i Sprawiedliwo??,5486,Prawo i Sprawiedliwo??,8  Zielona Góra,brak, doktor habilitowany,"Wy?sza Szko?a Pedagogiczna, Wydzia? Pedagogiczny, Pedagogika Opieku?czo-Wychowawcza - magister (1989)",25-10-15,wy?sze,nauczyciel akademicki,Jacek Kurz?pa,0
30-09-64,Klub Parlamentarny Prawo i Sprawiedliwo??,7458,Prawo i Sprawiedliwo??,17  Radom,brak,,"Wy?sza Szko?a Ubezpiecze? i Bankowo?ci (Warszawa), Wydzia? Ekonomiki i Organizacji Ochrony Zdrowia, Ekonomia - magister (2003)",25-10-15,wy?sze,ekonomista,Anna Kwiecie?,0
28-04-61,Klub Parlamentarny Prawo i Sprawiedliwo??,5636,Prawo i Sprawiedliwo??,33  Kielce,"pose? VI kadencji, pose? VII kadencji",,"Wy?sza Szko?a Pedagogiczna w Kielcach, Wydzia? Humanistyczny, Historia - magister (1984)",25-10-15,wy?sze,nauczyciel,Marek Kwitek,2
12-08-57,Klub Parlamentarny Platforma Obywatelska,8981,Platforma Obywatelska,26  Gdynia,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji", doktor,"Wy?sza Szko?a In?ynierska Koszalin, Wydzia? Mechaniczny, Konstrukcja i Eksploatacja Maszyn Rolniczych - magister in?ynier (1984)",25-10-15,wy?sze,in?ynier mechanik,Stanis?aw Lamczyk,3
24-10-43,Klub Parlamentarny Platforma Obywatelska,8285,Platforma Obywatelska,13  Kraków,"pose? III kadencji, pose? VII kadencji",,"Politechnika Krakowska, Wydzia? Mechaniczny, Samochody i Ci?gniki - magister in?ynier (1968)",25-10-15,wy?sze,pose?,Józef Lassota,2
08-03-64,Klub Parlamentarny Prawo i Sprawiedliwo??,40288,Prawo i Sprawiedliwo??,4  Bydgoszcz,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Akademia Medyczna w Poznaniu, Wydzia? Lekarski - lekarz (1989)",25-10-15,wy?sze,lekarz,Tomasz Latos,3
28-11-64,Klub Parlamentarny Prawo i Sprawiedliwo??,5369,Prawo i Sprawiedliwo??,33  Kielce,brak,,Liceum Ogólnokszta?c?ce dla Doros?ych (2007),25-10-15,?rednie ogólne,kierowca autobusu,Bogdan Latosi?ski,0
12-12-60,Klub Parlamentarny Platforma Obywatelska,17823,Platforma Obywatelska,30  Rybnik,brak,,"Uniwersytet ?l?ski, Wydzia? Prawa i Administracji, Prawo - magister (1998)",25-10-15,wy?sze,wy?szy urz?dnik pa?stwowy,Gabriela Lenartowicz,0
08-12-68,Klub Parlamentarny Platforma Obywatelska,21323,Platforma Obywatelska,5  Toru?,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Miko?aja Kopernika w Toruniu, Wydzia? Nauk Historycznych, Historia i Archiwistyka - magister (2011)",25-10-15,wy?sze,pose? zawodowy,Tomasz Lenz,3
03-09-62,Klub Parlamentarny Platforma Obywatelska,19160,Platforma Obywatelska,28  Cz?stochowa,"pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Jagiello?ski Kraków, Wydzia? Filologiczny - magister (1989)",25-10-15,wy?sze,nauczyciel,Izabela Leszczyna,2
06-03-68,Klub Parlamentarny Prawo i Sprawiedliwo??,16167,Prawo i Sprawiedliwo??,14  Nowy S?cz,brak,,"Universite Nancy 2, Langues Vivantes Etrangeres - licencjat (1992)",25-10-15,wy?sze,politolog,Józef Le?niak,0
21-11-69,Klub Parlamentarny Prawo i Sprawiedliwo??,24122,Prawo i Sprawiedliwo??,36  Kalisz,brak,,"Uniwersytet Warszawski, Wydzia? Filologia - magister (1993)",25-10-15,wy?sze,dziennikarz,Joanna Lichocka,0
15-01-68,Klub Poselski Nowoczesna,23220,Nowoczesna Ryszarda Petru,25  Gda?sk,brak,,"Ba?tycka Wy?sza Szko?a Humanistyczna w Koszalinie, Wydzia? Zarz?dzanie i Marketing, Zarz?dzanie Finansami - licencjat (1999)",25-10-15,wy?sze,ekonomistka,Ewa Lieder,0
11-10-59,Klub Parlamentarny Prawo i Sprawiedliwo??,16450,Prawo i Sprawiedliwo??,33  Kielce,"senator IV kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Wy?sza Szko?a Pedagogiczna w Kielcach, Wydzia? Matematyczno-Przyrodniczy, Fizyka - magister (1985)",25-10-15,wy?sze,nauczyciel,Krzysztof Lipiec,3
11-09-56,Klub Parlamentarny Prawo i Sprawiedliwo??,26199,Prawo i Sprawiedliwo??,1  Legnica,"pose? I kadencji, pose? IV kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Akademia Ekonomiczna we Wroc?awiu, Wydzia? Gospodarki Narodowej - magister (1979)",25-10-15,wy?sze,ekonomista,Adam Lipi?ski,5
12-07-71,Pose? niezrzeszony,22614,Kukiz'15,33  Kielce,brak,,"Technikum Budowlane, Budownictwo Ogólne (1992)",25-10-15,?rednie zawodowe,muzyk,Piotr Liroy-Marzec,0
15-08-78,Klub Parlamentarny Prawo i Sprawiedliwo??,6865,Prawo i Sprawiedliwo??,19  Warszawa,brak,,"Uniwersytet Warszawski, Wydzia? Historyczny, Archeologia - magister (2004)",25-10-15,wy?sze,historyk,Pawe? Lisiecki,0
18-07-78,Klub Poselski Nowoczesna,6236,Nowoczesna Ryszarda Petru,40  Koszalin,brak,,"Akademia Medyczna w Warszawie, Wydzia? Lekarski, Stomatologia - lekarz dentysta (2004)",25-10-15,wy?sze,stomatolog,Rados?aw Lubczyk,0
24-07-69,Klub Poselski Nowoczesna,18549,Nowoczesna Ryszarda Petru,9  ?ód?,brak, doktor,"Uniwersytet ?ódzki, Wydzia? Matematyki, Matematyka - magister (1993)",25-10-15,wy?sze,nauczyciel akademicki,Katarzyna Lubnauer,0
26-06-78,Klub Parlamentarny Prawo i Sprawiedliwo??,8114,Prawo i Sprawiedliwo??,38  Pi?a,brak,,"Uniwersytet Warszawski, Wydzia? Dziennikarstwa i Nauk Politycznych, Nauki Polityczne - magister (2004)",25-10-15,wy?sze,politolog,Krzysztof ?api?ski,0
03-08-61,Klub Parlamentarny Prawo i Sprawiedliwo??,8669,Prawo i Sprawiedliwo??,36  Kalisz,brak,,"Uniwersytet Wroc?awski, Wydzia? Filozoficzno-Historyczny, Historia - magister (1985)",25-10-15,wy?sze,historyk,Tomasz ?awniczak,0
16-08-54,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,7750,Polskie Stronnictwo Ludowe,6  Lublin,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Akademia Rolnicza w Lublinie, Wydzia? Techniki Rolniczej - magister in?ynier (1980)",25-10-15,wy?sze,parlamentarzysta,Jan ?opata,3
29-08-60,Klub Parlamentarny Prawo i Sprawiedliwo??,14608,Prawo i Sprawiedliwo??,1  Legnica,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Wroc?awski, Wydzia? Filologii polskiej, Specjalno?? nauczycielska - magister (1992)",25-10-15,wy?sze,parlamentarzysta,Marzena Macha?ek,3
24-10-69,Klub Poselski Kukiz'15,7899,Kukiz'15,35  Olsztyn,brak,,"Wy?sza Szko?a Pedagogiczna w Olsztynie, Wydzia? Humanistyczny, Politologia i nauki spo?eczne - magister (1995)",25-10-15,wy?sze,politolog,Andrzej Maciejewski,0
17-04-53,Klub Parlamentarny Prawo i Sprawiedliwo??,6818,Prawo i Sprawiedliwo??,10  Piotrków Trybunalski,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Politechnika Cz?stochowska, Wydzia? Mechaniczny, Budowa maszyn - magister in?ynier (1977)",25-10-15,wy?sze,"przedsi?biorca prywatny, in?ynier mechanik",Krzysztof Maciejewski,3
03-08-48,Klub Parlamentarny Prawo i Sprawiedliwo??,33960,Prawo i Sprawiedliwo??,10  Piotrków Trybunalski,"pose? I kadencji, pose? III kadencji, pose? IV kadencji, pose? VI kadencji, pose? VII kadencji",,"Uniwersytet Warszawski, Wydzia? Histortyczny, Historia - magister (1971)",25-10-15,wy?sze,historyk,Antoni Macierewicz,5
11-01-61,Klub Parlamentarny Prawo i Sprawiedliwo??,28909,Prawo i Sprawiedliwo??,32  Sosnowiec,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Politechnika ?l?ska, Wydzia? Metalurgiczny, Hutnictwo, metalurgia metali nie?elaznych - magister in?ynier (1986)",25-10-15,wy?sze,pose? na Sejm RP,Ewa Malik,3
28-02-68,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,7959,Polskie Stronnictwo Ludowe,17  Radom,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Szko?a G?ówna Gospodarstwa Wiejskiego w Warszawie, Wydzia? Ekonomiczno - Rolniczy, Ekonomika rolnictwa - magister in?ynier (1996)",25-10-15,wy?sze,rolnik - ogrodnik,Miros?aw Maliszewski,3
17-05-54,Klub Parlamentarny Platforma Obywatelska,23429,Platforma Obywatelska,32  Sosnowiec,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji", doktor,"?l?ska Akademia Medyczna, Wydzia? Lekarski - lekarz (1979)",25-10-15,wy?sze,lekarz/parlamentarzysta,Beata Ma?ecka-Libera,3
23-04-72,Klub Parlamentarny Prawo i Sprawiedliwo??,5513,Prawo i Sprawiedliwo??,35  Olsztyn,brak,,"Uczelnia Ja?skiego w ?om?y, Zarz?dzanie, Zarz?dzanie firm? - licencjat (2016)",25-10-15,wy?sze,bankowiec,Jerzy Ma?ecki,0
09-10-74,Klub Parlamentarny Prawo i Sprawiedliwo??,18671,Prawo i Sprawiedliwo??,16  P?ock,pose? VII kadencji,,"Katolicki Uniwersytet Lubelski Jana Paw?a II, Studium samorz?dowe (1996) - studia podyplomowe",25-10-15,wy?sze,historyk,Maciej Ma?ecki,1
18-01-86,Klub Parlamentarny Platforma Obywatelska,7147,Platforma Obywatelska,41  Szczecin,brak, doktor,"Zachodniopomorski Uniwersytet Technologiczny, Wydzia? Ekonomiczny, Zarz?dzanie i marketing - licencjat (2009)",25-10-15,wy?sze,ekonomista,Arkadiusz Marchewka,0
27-06-50,Klub Parlamentarny Prawo i Sprawiedliwo??,23287,Prawo i Sprawiedliwo??,6  Lublin,"pose? IV kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji", doktor,"Uniwersytet Marii Curie-Sk?odowskiej w Lublinie, Wydzia? Ekonomiczny, Ekonomika rolnictwa - magister (1974)",25-10-15,wy?sze,ekonomista,Gabriela Mas?owska,4
21-07-84,Klub Poselski Kukiz'15,15303,Kukiz'15,23  Rzeszów,brak,,"Wy?sza Szko?a Informatyki i Zarz?dzania z siedzib? w Rzeszowie, Wydzia? Administracyjno-Informatyczny, Informatyka i ekonometria - magister (2010)",25-10-15,wy?sze,nauczyciel akademicki,Maciej Mas?owski,0
25-03-56,Klub Parlamentarny Prawo i Sprawiedliwo??,15089,Prawo i Sprawiedliwo??,8  Zielona Góra,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Wy?sza Szko?a In?ynierska, Wydzia? Budownictwo, Technologia i organizacja - magister in?ynier (1983)",25-10-15,wy?sze,parlamentarzysta,Jerzy Materna,3
23-04-63,Klub Parlamentarny Prawo i Sprawiedliwo??,12059,Prawo i Sprawiedliwo??,11  Sieradz,brak,,Liceum Ogólnokszta?c?ce im. T. Ko?ciuszki (1982),25-10-15,?rednie ogólne,pracownik samorz?dowy,Beata Mateusiak-Pielucha,0
24-02-61,Klub Parlamentarny Prawo i Sprawiedliwo??,17227,Prawo i Sprawiedliwo??,30  Rybnik,pose? VII kadencji,,"Akademia Górniczo-Hutnicza w Krakowie, Wydzia? Elektromechaniki, Automatyki i Elektroniki, Elektrotechnika - in?ynier (2001)",25-10-15,wy?sze,in?ynier energetyki,Grzegorz Matusiak,1
22-06-52,Klub Parlamentarny Prawo i Sprawiedliwo??,9970,Prawo i Sprawiedliwo??,22  Krosno,senator VIII kadencji,,"Uniwersytet Wroc?awski, Wydzia? Prawa i Administracji, Prawo - magister (1976)",25-10-15,wy?sze,adwokat,Andrzej Matusiewicz,0
14-08-59,Klub Parlamentarny Prawo i Sprawiedliwo??,13880,Prawo i Sprawiedliwo??,11  Sieradz,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,Technikum Samochodowe w ?odzi - technik (1988),25-10-15,?rednie zawodowe,parlamentarzysta,Marek Matuszewski,3
04-03-60,Klub Parlamentarny Prawo i Sprawiedliwo??,9345,Prawo i Sprawiedliwo??,27  Bielsko-Bia?a,"pose? V kadencji, pose? VI kadencji",,"Politechnika ?l?ska, Wydzia? Automatyki i Elektroniki, Elektronika - magister (1985)",25-10-15,wy?sze,przedstawiciel w?adz samorz?dowych - radny sejmiku,Kazimierz Matuszny,2
19-10-67,Klub Parlamentarny Prawo i Sprawiedliwo??,30365,Prawo i Sprawiedliwo??,7  Che?m,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Katolicki Uniwersytet Lubelski Jana Paw?a II, Wydzia? Nauk Spo?ecznych, Socjologia - magister (1991)",25-10-15,wy?sze,socjolog,Beata Mazurek,3
01-10-58,Klub Poselski Nowoczesna,26164,Nowoczesna Ryszarda Petru,13  Kraków,brak,,"Katolicki Uniwersytet Lubelski, Wydzia? Nauk Humanistycznych, Historia - magister (1989)",25-10-15,wy?sze,przedsi?biorca,Jerzy Meysztowicz,0
23-08-54,Klub Parlamentarny Platforma Obywatelska,9285,Platforma Obywatelska,5  Toru?,"pose? IV kadencji, pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Politechnika Gda?ska, Wydzia? Elektroniki, Elektronika - magister in?ynier (1978)",25-10-15,wy?sze,in?ynier elektronik,Antoni M??yd?o,4
22-12-56,Klub Parlamentarny Prawo i Sprawiedliwo??,11327,Prawo i Sprawiedliwo??,23  Rzeszów,brak,,"Wy?sza Szko?a In?ynieryjno-Ekonomiczna, Wydzia? Rolnictwa, Agrobiznes - in?ynier (2008)",25-10-15,wy?sze,rolnik,Mieczys?aw Miazga,0
13-03-56,Klub Parlamentarny Prawo i Sprawiedliwo??,7485,Prawo i Sprawiedliwo??,5  Toru?,brak,,"Uniwersytet Miko?aja Kopernika w Toruniu, Wydzia? Biologii i Nauk o Ziemi, Biologia ?rodowiskowa - magister (1981)",25-10-15,wy?sze,nauczyciel,Iwona Micha?ek,0
26-09-53,Klub Parlamentarny Prawo i Sprawiedliwo??,15806,Prawo i Sprawiedliwo??,6  Lublin,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Katolicki Uniwersytet Lubelski Jana Paw?a II, Wydzia? Socjologii, Socjologia - magister (2003)",25-10-15,wy?sze,socjolog,Krzysztof Micha?kiewicz,3
19-05-56,Klub Poselski Nowoczesna,24525,Nowoczesna Ryszarda Petru,3  Wroc?aw,brak,,XIV Liceum Ogólnokszta?c?ce (1976),25-10-15,?rednie ogólne,kulturoznawca,Krzysztof Mieszkowski,0
18-07-58,Klub Parlamentarny Prawo i Sprawiedliwo??,11562,Prawo i Sprawiedliwo??,10  Piotrków Trybunalski,brak,,"Uniwersytet Opolski, Wydzia? Filologiczno-Historyczny, Pedagogika kulturalo-o?wiatowa - magister (1999)",25-10-15,wy?sze,pedagog,Anna Milczanowska,0
22-11-89,Klub Parlamentarny Prawo i Sprawiedliwo??,13302,Prawo i Sprawiedliwo??,18  Siedlce,brak,,"Uniwersytet Warszawski, Wydzia? Prawa i Administracji, Prawo - magister (2013)",25-10-15,wy?sze,prawnik,Daniel Milewski,0
16-07-54,Klub Parlamentarny Platforma Obywatelska,8565,Platforma Obywatelska,21  Opole,pose? VII kadencji,,"Akademia Medyczna w ?odzi, Wydzia? Lekarski - lekarz (1978)",25-10-15,wy?sze,lekarz medycyny,Rajmund Miller,1
11-06-74,Klub Poselski Nowoczesna,13871,Nowoczesna Ryszarda Petru,41  Szczecin,brak,,"Uniwersytet Szczeci?ski, Wydzia? Zarz?dzania i Ekonomiki Us?ug, Zarz?dzanie finansami w podmiotach gospodarczych - magister (2002)",25-10-15,wy?sze,ekonomista,Piotr Misi?o,0
25-05-58,Klub Parlamentarny Platforma Obywatelska,5189,Platforma Obywatelska,3  Wroc?aw,"pose? V kadencji, pose? VI kadencji, pose? VII kadencji",,"Politechnika Wroc?awska, Wydzia? Architektury, Architektura - magister in?ynier (1982)",25-10-15,wy?sze,parlamentarzysta,Aldona M?y?czak,3
