voting,date,time,amendment
glos_15_43,25-05-2012,10:21:39,True
glos_15_44,25-05-2012,10:22:15,True
glos_15_45,25-05-2012,10:22:48,True
glos_15_46,25-05-2012,10:24:46,True
glos_15_47,25-05-2012,10:26:08,False
glos_15_48,25-05-2012,10:27:12,False
glos_15_5,25-05-2012,09:17:46,False
glos_15_6,25-05-2012,09:21:50,True
glos_15_7,25-05-2012,09:22:25,True
glos_15_8,25-05-2012,09:28:20,True
glos_15_9,25-05-2012,09:30:38,False
glos_16_1,14-06-2012,09:06:56,False
glos_16_10,14-06-2012,09:16:51,False
glos_16_11,14-06-2012,09:17:56,False
glos_16_12,14-06-2012,09:18:33,False
glos_16_13,14-06-2012,09:19:22,False
glos_16_14,14-06-2012,09:22:56,False
glos_16_15,15-06-2012,09:06:31,False
glos_16_16,15-06-2012,09:07:43,False
glos_16_17,15-06-2012,09:08:52,False
glos_16_18,15-06-2012,09:10:41,False
glos_16_19,15-06-2012,09:16:11,False
glos_16_2,14-06-2012,09:07:34,False
glos_16_20,15-06-2012,09:32:11,False
glos_16_21,15-06-2012,09:32:48,False
glos_16_22,15-06-2012,09:34:08,False
glos_16_23,15-06-2012,09:48:52,False
glos_16_24,15-06-2012,09:50:53,False
glos_16_25,15-06-2012,10:00:52,False
glos_16_26,15-06-2012,10:02:36,False
